Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9]
Istrian Short-haired Hound,Croatia,Group 06 Section 01 #151,,,,,,Scenthound
Italian Greyhound,Italy,Group 10 Section 03 #200,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Jack Russell Terrier,United Kingdom (England),Group 03 Section 02 #345,,Group 02 (Terriers),,Terrier,Terrier,Terrier
Jagdterrier,Germany,Group 03 Section 01 #103,FSS,Group 02 (Terriers),,,Terrier,Terrier
Swedish Elkhound,Sweden,Group 05 Section 02 #042,,,,,,Northern Breed
Japanese Chin,Japan,Group 09 Section 08 #206,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Japanese Spitz,Japan,Group 05 Section 05 #262,FFS,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed
Japanese Terrier,Japan,Group 03 Section 02 #259,,,,,,Terrier
Jindo,South Korea,Group 05 Section 05 #334,FSS,,,,Utility,Northern Breed
Jonangi,India,,,,,,,
Kaikadi dog,India,,,,,,,
Kai Ken,Japan,Group 05 Section 05 #317,FSS,,,,,Northern Breed
Kangal Shepherd Dog,Turkey,Group 02 Section 02 #331,,Group 06 (Utility),,Pastoral,Utility,Guardian Dog
Kanni,India,,,,,,,
Karakachan dog,Bulgaria,,,,,,,
Karelian Bear Dog,Finland,Group 05 Section 02 #048,FSS,,Group 03 - Working Dogs,,,Northern Breed
Karst Shepherd,Slovenia,Group 02 Section 02 #278,,,,,,Guardian Dog
Keeshond,"Netherlands, Germany",Group 05 Section 04 #097,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed
Kerry Beagle,Ireland,,,,,,,
Kerry Blue Terrier,Ireland,Group 03 Section 01 #003,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
King Charles Spaniel,United Kingdom (England),Group 09 Section 07 #128,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
King Shepherd,United States,,,,,,,
Kintamani,Indonesia,Group 05 Section 05 #362 Provisional,,,,,,
Kishu Ken,Japan,Group 05 Section 05 #318,FSS,,,,,Northern Breed
Komondor,Hungary,Group 01 Section 01 #053,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog
Koolie,Australia,,,,,,,
Koyun dog,Turkey,,,,,,,
Kromfohrländer,Germany,Group 09 Section 10 #192,FSS,,,,,Companion Dog
Kumaon Mastiff,India,,,,,,,
Kunming Wolfdog,China,,,,,,,
Kurī,New Zealand,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Kuvasz,Hungary,Group 01 Section 01 #054,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog
Kyi-Leo,United States,,,,,,,
Labrador Husky,Canada,,,,,,,
Labrador Retriever,"Canada, United Kingdom (England)",Group 08 Section 01 #122,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Lagotto Romagnolo,Italy,Group 08 Section 03 #298,Sporting Group,,"Group 01 - Sporting Dogs, listed",Gundog,Gundog,Gun Dog
Lakeland Terrier,United Kingdom (England),Group 03 Section 01 #070,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Lancashire Heeler,United Kingdom (England),Group 01 Section 01 #360,Miscellaneous,,"Group 07 - Herding Dogs, listed",Pastoral,,Herding Dog
Landseer,Canada,Group 02 Section 02 #226,,,,,,
Lapponian Herder,Finland,Group 05 Section 03 #284,FSS,,,,,Herding Dog
Lapponian Shepherd,Finland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Leonberger,Germany,Group 02 Section 02 #145,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Lhasa Apso,Tibet,Group 09 Section 05 #227,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Lithuanian Hound,Lithuania,,,,,,,
Louisiana Catahoula Leopard Dog,United States,,FSS,,,,,Herding Dog
Löwchen,"Germany, France, Netherlands, Spain",Group 09 Section 01 #233,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Toy,Toy,Companion Dog
Mackenzie River husky,Canada and Alaska,,,,,,,
Magyar agár,"Hungary, Romania",Group 10 Section 03 #240,,,,,,Sighthound and Pariah
Mahratta Greyhound,India,,,,,,,
Maltese,Italy,Group 09 Section 01 #065,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Manchester Terrier,United Kingdom (England),Group 03 Section 01 #071,"Terrier Group, Toy Group",Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Maremma Sheepdog,Italy,Group 01 Section 01 #201,,Group 05 (Working Dogs),,Pastoral,Working,Guardian Dog
Marquesan Dog,Marquesas Islands (French Polynesia),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
McNab dog,United States,,,,,,,
Miniature American Shepherd,United States,,Herding Group,,"Group 7 - Herding Dogs, listed",,,Herding Dog
Miniature Bull Terrier,United Kingdom (England),Group 03 Section 03 #011,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Miniature Fox Terrier,Australia,,,,,,,
Miniature Pinscher,Germany,Group 02 Section 01 #185,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Miniature Schnauzer,Germany,Group 02 Section 01 #183,Terrier Group,Group 06 (Utility),Group 04 - Terriers,Utility,Utility,Terrier
Miniature Shar Pei,China,,,,,,,
Molossus,Greece,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Molossus of Epirus,Greece,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Montenegrin Mountain Hound,Montenegro,Group 06 Section 01 #279,,,,,,Scenthound
Moscow Watchdog,Russia,,,,,,,
Moscow Water Dog,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Mountain Cur,United States,,FSS,,,,,Scenthound
Mucuchies,Venezuela,,,,,,,
Mudhol Hound,India,,,,,,,
Mudi,Hungary,Group 01 Section 01 #238,Miscellaneous,,"Group 07 - Herding Dogs, listed",,,Herding Dog
"Münsterländer, Large",Germany,Group 07 Section 01 #118,,Group 03 (Gundogs),,Gundog,Gundog,Gun Dog
"Münsterländer, Small",Germany,Group 07 Section 01 #102,FSS,,"Group 01 - Sporting Dogs, listed",Gundog,,Gun Dog
Neapolitan Mastiff,Italy,Group 02 Section 02 #197,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Nederlandse Kooikerhondje,Netherlands,Group 08 Section 02 #314,Sporting Group,,,Utility,,Gun Dog
Newfoundland,Canada,Group 02 Section 02 #050,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
New Zealand Heading Dog,New Zealand,,,,,,,
Norfolk Spaniel,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Norfolk Terrier,United Kingdom (England),Group 03 Section 02 #272,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Norrbottenspets,Sweden,Group 05 Section 02 #276,Miscellaneous,,Group 02 - Hounds,,,Northern Breed
North Country Beagle,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Northern Inuit Dog,United Kingdom (England),,,,,,,
Norwegian Buhund,Norway,Group 05 Section 03 #237,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Northern Breed
Norwegian Elkhound,Norway,Group 05 Section 02 #242,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed
Norwegian Lundehund,Norway,Group 05 Section 02 #265,Non-Sporting Group,,Group 02 - Hounds,,,Northern Breed
Norwich Terrier,United Kingdom (England),Group 03 Section 02 #072,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Nova Scotia Duck Tolling Retriever,Canada,Group 08 Section 01 #312,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Old Croatian Sighthound,Croatia,,,,,,,
Old Danish Pointer,Denmark,Group 07 Section 01 #281,,,,,,Gun Dog
Old English Bulldog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Old English Sheepdog,United Kingdom (England),Group 01 Section 01 #016,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Old English Terrier,United Kingdom (England),,,,,,,
Old German Shepherd Dog,Germany,,,,,,,
Old Spanish Pointer,Spain,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Old Time Farm Shepherd,United States,,,,,,,
Olde English Bulldogge,United States,,,,,,,Guardian Dog
Otterhound,United Kingdom (England),Group 06 Section 01 #294,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Pachon Navarro,Spain,,,,,,,
Pandikona,India,,,,,,,
Paisley Terrier,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Papillon,"Spain, Belgium, France",Group 09 Section 09 #077,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Parson Russell Terrier,United Kingdom (England),Group 03 Section 01 #339,Terrier Group,Group 02 (Terriers),"Group 04 - Terriers, listed",Terrier,Terrier,Terrier
Pastore della Lessinia e del Lagorai,Italy,,,,,,,
Patterdale Terrier,United Kingdom (England),,,,,,,Terrier
Pekingese,China,Group 09 Section 08 #207,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Perro de Pastor Mallorquin,Spain,,,,,,,Herding Dog
Perro de Presa Canario,Spain,Group 02 Section 02 #346,FSS,,,,,Guardian Dog
Perro de Presa Mallorquin,Spain,Group 02 Section 02 #249,,,,,,Guardian Dog
Peruvian Inca Orchid,Peru,Group 05 Section 06 #310,Miscellaneous,Group 04 (Hounds),,,Hound,Sighthound and Pariah
Petit Basset Griffon Vendéen,France,Group 06 Section 01 #067,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Petit Bleu de Gascogne,France,Group 06 Section 01 #031,,,,,,Scenthound
Phalène,"Belgium, Spain",Group 09 Section 09 #077,,,,,,
Pharaoh Hound,Malta,Group 05 Section 06 #248,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Phu Quoc Ridgeback,Vietnam,,,,,,,
Picardy Spaniel,France,Group 07 Section 01 #108,,,,,,Gun Dog
Plummer Terrier,United Kingdom,,,,,,,
Plott Hound,United States,,Hound Group,,,,,Scenthound
Podenco Canario,Spain,Group 05 Section 07 #329,,,,,,Sighthound and Pariah
Poitevin,France,Group 06 Section 01 #024,,,,,,Scenthound
Polish Greyhound,Poland,Group 10 Section 03 #333,,,,,,Sighthound and Pariah
Polish Hound,Poland,Group 06 Section 01 #052,,,,,,Scenthound
Polish Hunting Dog,Poland,Group 06 Section 01 #354,,,,,,
Polish Lowland Sheepdog,Poland,Group 01 Section 01 #251,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Polish Tatra Sheepdog,Poland,Group 01 Section 01 #252,,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",,Working,Guardian Dog
Pomeranian,"Germany, Poland",Group 05 Section 04 #097,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Pont-Audemer Spaniel,France,Group 07 Section 01 #114,,,,,,
Poodle,"Germany, France",Group 09 Section 02 #172,"Non-Sporting Group (Standard Poodle and Minature Poodle), Toy Group (Toy Poodle)",Group 07 (Non-Sporting),"Group 05 - Toys, Group 06 - Non-Sporting",Utility,Non Sporting,"Companion Dog, Gun Dog"
Porcelaine,France,Group 06 Section 01 #030,FSS,,,,,Scenthound
Portuguese Podengo,Portugal,Group 05 Section 07 #094,"Hound (Pequeno), Miscellaneous (Grande and Medio)",Group 04 (Hounds),,Hound,Hound,Sighthound and Pariah
Portuguese Pointer,Portugal,Group 07 Section 01 #187,FSS,,,Gundog,,Gun Dog
Portuguese Water Dog,Portugal,Group 08 Section 03 #037,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Gun Dog
Posavac Hound,Croatia,Group 06 Section 01 #154,,,,,,Scenthound
Posavski Gonič aka Posavac Hound 2.JPG,,,,,,,,
,,,,,,,,
Potsdam Greyhound,Italy,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Pražský Krysařík,Czech Republic,,,,,,,
Pudelpointer,Germany,Group 07 Section 01 #216,FSS,,Group 01 - Sporting Dogs,,,Gun Dog
Pug,China,Group 09 Section 11 #253,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Puli,Hungary,Group 01 Section 01 #055,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Pumi,Hungary,Group 01 Section 01 #056,Herding Group,Group 05 (Working Dogs),,Pastoral,Working,Herding Dog
Pungsan dog,North Korea,,,,,,,
Pyrenean Mastiff,Spain,Group 02 Section 02 #092,FSS,Group 06 (Utility),,Working,Utility,Guardian Dog
Pyrenean Shepherd,France,"Group 01 Section 01 #138 (smooth), #141 (longhaired)",Herding Group,Group 05 (Working Dogs) (longhaired only),Group 07 - Herding Dogs,Pastoral (longhaired only),Working (longhaired only),Herding Dog
Rafeiro do Alentejo,Portugal,Group 02 Section 02 #096,FSS,,,,,Guardian Dog
Rajapalayam,India,,,,,,,
Rampur Greyhound,India,,,,,,,
Rastreador Brasileiro,Brazil,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Rat Terrier,United States,,Terrier Group,,"Group 04 - Terriers, listed",,,Terrier
Ratonero Bodeguero Andaluz,Spain,,,,,,,
Ratonero Mallorquin,Spain,,,,,,,
Ratonero Murciano de Huerta,Spain,,,,,,,
Ratonero Valenciano,Spain,,,,,,,
Redbone Coonhound,United States,,Hound Group,,,,,Scenthound
Rhodesian Ridgeback,Zimbabwe,Group 06 Section 03 #146,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Romanian Mioritic Shepherd Dog,Romania,Group 01 Section 01 #349,FSS,,,,,Herding Dog
Mioritic.jpg,,,,,,,,
,,,,,,,,
Romanian Raven Shepherd Dog,Romania,,,,,,,
Rottweiler,Germany,Group 02 Section 02 #147,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Russian Salon Dog,Russia,,,,,,,
Russian Spaniel,Russia,,,,,,,
Russian Toy,Russia,Group 09 Section 09 #352,Miscellaneous,Group 01 (Toys),"Group 05 - Toys, listed",Toy,Toy,Companion Dog
Russian Tracker,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Russo-European Laika,Russia,Group 05 Section 02 #304,,,,,,Northern Breed
Russell Terrier,United Kingdom (England),,Terrier Group,Group 02 (Terriers),"Group 04 - Terriers, listed",,,
Saarloos Wolfdog,"Netherlands, Germany",Group 01 Section 01 #311,,,,,,Herding Dog
Sabueso Español,Spain,Group 06 Section 01 #204,,,,,,Scenthound
Sabueso fino Colombiano,Colombia,,,,,,,
Saint Bernard,"Italy, Switzerland",Group 02 Section 02 #061,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Saint John's water dog,"Newfoundland, Canada",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Saint-Usuge Spaniel,France,,,,,,,
Sakhalin Husky,"Japan, Russia",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Sakhalin Husky Jiro.JPG,,,,,,,,
,,,,,,,,
Salish Wool Dog,"United States, Canada",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Saluki,Fertile Crescent,Group 10 Section 01 #269,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Samoyed,Russia,Group 05 Section 01 #212,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Northern Breed
Sapsali,Korea,,,,,,,
Šarplaninac,"Serbia, North Macedonia",Group 02 Section 02 #041,,,,,,Guardian Dog
Schapendoes,Netherlands,Group 01 Section 01 #313,FSS,,Group 07 - Herding Dogs,,,Herding Dog
Schillerstövare,Sweden,Group 06 Section 01 #131,,,,,,Scenthound
Schipperke,Belgium,Group 01 Section 01 #083,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Schweizer Laufhund,Switzerland,Group 06 Section 01 #059,,,,,,Scenthound
Schweizerischer Niederlaufhund,Switzerland,Group 06 Section 01 #060,,,,,,Scenthound
Scotch Collie,United Kingdom (Scotland),,,,,,,
Scottish Deerhound,United Kingdom (Scotland),Group 10 Section 02 #164,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Scottish Terrier,United Kingdom (Scotland),Group 03 Section 02 #073,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Sealyham Terrier,United Kingdom (Wales),Group 03 Section 02 #074,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Segugio Italiano,Italy,Group 06 Section 01 #337 #198,FSS,,,Hound,,Scenthound
Seppala Siberian Sleddog,Canada,,,,,,,
Serbian Hound,Serbia,Group 06 Section 01 #150,,,,,,Scenthound
Serbian Tricolour Hound,Serbia,Group 06 Section 01 #229,,,,,,Scenthound
Seskar Seal Dog,Finland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Shar Pei,China,Group 02 Section 02 #309,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed
Shetland Sheepdog,United Kingdom (Scotland),Group 01 Section 01 #088,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Shiba Inu,Japan,Group 05 Section 05 #257,Non-Sporting Group,Group 06 (Utility),Group 06 - Non-Sporting,Utility,Utility,Northern Breed
Shih Tzu,China,Group 09 Section 05 #208,Toy Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Shikoku,Japan,Group 05 Section 05 #319,FSS,,"Group 02 - Hounds, listed",,,Northern Breed
Shiloh Shepherd,United States,,,,,,,
Siberian Husky,Russia,Group 05 Section 01 #270,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed
Silken Windhound,United States,,,,,,,Sighthound and Pariah
Silky Terrier,Australia,Group 03 Section 04 #236,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Terrier
Sinhala Hound,Sri Lanka,,,,,,,
Skye Terrier,United Kingdom (Scotland),Group 03 Section 02 #075,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Sloughi,Morocco,Group 10 Section 03 #188,Hound Group,Group 04 (Hounds),,Hound,Hound,Sighthound and Pariah
Slovak Cuvac,Slovakia,Group 01 Section 01 #142,FSS,,,,,Guardian Dog
Slovakian Wirehaired Pointer,Slovakia,Group 07 Section 01 #320,FSS,,,Gundog,,Gun Dog
Slovenský kopov,Slovakia,Group 06 Section 01 #244,FSS,,,,,Scenthound
Smålandsstövare,Sweden,Group 06 Section 01 #129,,,,,,Scenthound
Small Greek Domestic Dog,Greece,,,,,,,
Soft-Coated Wheaten Terrier,Ireland,Group 03 Section 01 #040,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
South Russian Ovcharka,Russia,Group 01 Section 01 #326,,,,,,Herding Dog
Southern Hound,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Spanish Mastiff,Spain,Group 02 Section 02 #091,FSS,,,,Utility,Guardian Dog
Spanish Water Dog,Spain,Group 08 Section 03 #336,Herding Group,Group 03 (Gundogs),"Group 07 - Herding Dogs, listed",Gundog,Gundog,Herding Dog
Spinone Italiano,Italy,Group 07 Section 01 #165,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Sporting Lucas Terrier,United Kingdom (England),,,,,,,Terrier
Stabyhoun,Netherlands,Group 07 Section 01 #222,FSS,,,,,Gun Dog
Staffordshire Bull Terrier,United Kingdom (England),Group 03 Section 03 #076,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Standard Schnauzer,Germany,Group 02 Section 01 #182,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Utility,Utility,Guardian Dog
Stephens Cur,United States,,,,,,,Scenthound
Styrian Coarse-haired Hound,Austria,Group 06 Section 01 #062,,,,,,Scenthound
Sussex Spaniel,United Kingdom (England),Group 08 Section 02 #127,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Swedish Lapphund,Sweden,Group 05 Section 03 #135,FSS,Group 05 (Working Dogs),,Pastoral,,Northern Breed
Swedish Vallhund,Sweden,Group 05 Section 03 #014,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Tahitian Dog,"Tahiti, Society Islands (French Polynesia)",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Tahltan Bear Dog,Canada,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Taigan,Kyrgyzstan,,,,,,,
Taiwan Dog,Taiwan,Group 05 Section 07 #348,FSS,,,,,
Talbot Hound,"United Kingdom (England), Belgium, France",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Tamaskan Dog,Finland,,,,,,,
Teddy Roosevelt Terrier,United States,,FSS,,,,,Terrier
Telomian,Malaysia,,,,,,,
Tenterfield Terrier,Australia,,,Group 02 (Terriers),,,Terrier,
Terceira Mastiff,Portugal,,,,,,,
Thai Bangkaew Dog,Thailand,Group 05 Section 05 #358 Provisional,,,,,,
Thai Ridgeback,Thailand,Group 05 Section 07 #338,FSS,,,,Hound,Sighthound and Pariah
Tibetan Mastiff,Tibet,Group 02 Section 02 #230,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog
Tibetan Spaniel,Tibet,Group 09 Section 05 #231,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Tibetan Terrier,Tibet,Group 09 Section 05 #209,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Tornjak,"Bosnia and Herzegovina, Croatia",Group 02 Section 02 #355,FSS,,,,,Guardian Dog
Tosa,Japan,Group 02 Section 02 #260,FSS,,,,,Guardian Dog
Toy Bulldog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Toy Fox Terrier,United States,,Toy Group,,Group 05 - Toys,,,Terrier
Toy Manchester Terrier,"United Kingdom (England), United States",,Toy Group,,Group 05 - Toys,,,Terrier
Toy Trawler Spaniel,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Transylvanian Hound,Hungary,Group 06 Section 01 #241,FSS,,,,,Scenthound
Treeing Cur,United States,,,,,,,Scenthound
Treeing Tennessee Brindle,United States,,FSS,,,,,Scenthound
Treeing Walker Coonhound,United States,,Hound Group,,,,,Scenthound
Trigg Hound,"Kentucky, United States",,,,,,,
Tweed Water Spaniel,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Tyrolean Hound,Austria,Group 06 Section 01 #068,,,,,,Scenthound
Cimarrón Uruguayo,Uruguay,Group 02 Section 02 #353,,,,,,Guardian Dog
Vanjari Hound,India,,,,,,,
Villano de Las Encartaciones,Spain,,,,,,,
Villanuco de Las Encartaciones,Spain,,,,,,,
Vizsla,Hungary,Group 07 Section 01 #057,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Volpino Italiano,Italy,Group 05 Section 04 #195,,,,,,Northern Breed
Weimaraner,Germany,Group 07 Section 01 #099,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
"Welsh Corgi, Cardigan",United Kingdom (Wales),Group 01 Section 01 #038,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
"Welsh Corgi, Pembroke",United Kingdom (Wales),Group 01 Section 01 #039,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Welsh Sheepdog,United Kingdom (Wales),,,,,,,
Welsh Springer Spaniel,United Kingdom (Wales),Group 08 Section 02 #126,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Welsh Terrier,United Kingdom (Wales),Group 03 Section 01 #078,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
West Highland White Terrier,United Kingdom (Scotland),Group 03 Section 02 #085,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
West Siberian Laika,Russia,Group 05 Section 02 #306,,,,,,Northern Breed
Westphalian Dachsbracke,Germany,Group 06 Section 01 #100,,,,,,Scenthound
Wetterhoun,Netherlands,Group 08 Section 03 #221,,,,,,Gun Dog
Whippet,United Kingdom (England),Group 10 Section 03 #162,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
White Shepherd,United States,,,,,,,Herding Dog
Wirehaired Pointing Griffon,"Netherlands, France",Group 07 Section 01 #107,Sporting Group,,Group 01 - Sporting Dogs,Gundog,,Gun Dog
Wirehaired Vizsla,Hungary,Group 07 Section 01 #239,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Xiasi Dog,China,,,,,,,
Xoloitzcuintli,Mexico,Group 05 Section 06 #234,Non-Sporting Group,Group 07 (Non-Sporting),"Group 05 - Toys, Group 06 - Non-Sporting",Utility,Non Sporting,Sighthound and Pariah
Yakutian Laika,Russia,,FSS,,,,,
Yorkshire Terrier,United Kingdom (England),Group 03 Section 04 #086,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Breed,Origin,Fédération Cynologique Internationale,American Kennel Club,Australian National Kennel Council,Canadian Kennel Club,The Kennel Club,New Zealand Kennel Club,United Kennel Club
